design,zero_pct,internal_mw,switching_mw,leakage_mw,total_mw
behavioral,0,0.756,0.8109999999999999,9.430000000000001e-06,1.57
behavioral,10,0.746,0.7969999999999999,9.450000000000001e-06,1.5399999999999998
behavioral,20,0.7240000000000001,0.762,9.479999999999999e-06,1.49
behavioral,30,0.7,0.726,9.5e-06,1.4300000000000002
behavioral,40,0.67,0.6819999999999999,9.53e-06,1.35
behavioral,50,0.627,0.617,9.58e-06,1.24
behavioral,60,0.597,0.5730000000000001,9.61e-06,1.17
behavioral,70,0.549,0.504,9.66e-06,1.05
behavioral,80,0.496,0.424,9.71e-06,0.92
behavioral,90,0.441,0.34299999999999997,9.75e-06,0.785
structural-baseline,0,0.736,0.7789999999999999,7.4799999999999995e-06,1.52
structural-baseline,10,0.731,0.772,7.4899999999999994e-06,1.5
structural-baseline,20,0.714,0.746,7.499999999999999e-06,1.46
structural-baseline,30,0.699,0.722,7.520000000000001e-06,1.42
structural-baseline,40,0.6819999999999999,0.6930000000000001,7.53e-06,1.38
structural-baseline,50,0.6579999999999999,0.6539999999999999,7.55e-06,1.31
structural-baseline,60,0.636,0.62,7.56e-06,1.26
structural-baseline,70,0.609,0.5760000000000001,7.5699999999999995e-06,1.1900000000000002
structural-baseline,80,0.584,0.532,7.59e-06,1.1199999999999999
structural-baseline,90,0.544,0.472,7.6e-06,1.02
structural-icg,0,0.864,0.796,8.06e-06,1.66
structural-icg,10,0.823,0.749,8.08e-06,1.57
structural-icg,20,0.749,0.665,8.11e-06,1.41
structural-icg,30,0.6970000000000001,0.605,8.14e-06,1.3
structural-icg,40,0.637,0.535,8.16e-06,1.17
structural-icg,50,0.571,0.457,8.200000000000001e-06,1.03
structural-icg,60,0.53,0.408,8.220000000000001e-06,0.937
structural-icg,70,0.47,0.33599999999999997,8.249999999999999e-06,0.8059999999999999
structural-icg,80,0.41300000000000003,0.266,8.29e-06,0.68
structural-icg,90,0.358,0.19799999999999998,8.32e-06,0.5569999999999999
